                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0081,                 1.9729,                 1.3306,                0.87009,                0.92499,                0.94832,                0.78251,                0.64481,                 1.0926,                0.96503,             0.00038583,             0.00038583,             0.00038583
                      1,                0.93417,                0.97403,                 1.2026,                0.50743,                0.78519,                0.65804,                0.42834,                 1.0491,                 2.5348,                 1.2724,             0.00078336,             0.00078336,             0.00078336
                      2,                 1.0062,                0.98675,                 1.2296,                0.33685,                0.47847,                0.29548,                0.16634,                 1.4429,                 4.6086,                 1.8265,              0.0011782,              0.0011782,              0.0011782
                      3,                 1.0249,                  1.006,                 1.2445,                0.41802,                 0.6651,                 0.5155,                0.32472,                 1.2389,                 4.0139,                 1.4409,              0.0014149,              0.0014149,              0.0014149
                      4,                0.99807,                0.92609,                 1.2175,                0.44084,                0.76792,                0.63401,                0.44522,                 1.1015,                 2.7389,                 1.2722,              0.0014149,              0.0014149,              0.0014149
                      5,                 1.0225,                0.88992,                 1.2494,                0.67995,                0.71415,                0.68156,                 0.4564,                 1.1493,                 2.5549,                 1.2637,              0.0014101,              0.0014101,              0.0014101
                      6,                0.98926,                0.81378,                 1.2043,                0.58797,                0.69375,                0.50818,                0.36418,                 1.0047,                 2.4593,                 1.2465,              0.0014054,              0.0014054,              0.0014054
                      7,                0.96598,                0.76125,                 1.1948,                0.86291,                0.86622,                0.89605,                0.71204,                 0.7858,                0.93324,                 1.0184,              0.0014007,              0.0014007,              0.0014007
                      8,                0.93335,                0.71691,                 1.1646,                0.93134,                0.93392,                0.97142,                0.77084,                0.77693,                0.65301,                  1.013,               0.001396,               0.001396,               0.001396
                      9,                 0.9341,                0.69919,                 1.1743,                 0.7804,                0.88034,                0.91283,                0.71521,                0.83292,                0.79035,                  1.077,              0.0013913,              0.0013913,              0.0013913
                     10,                0.94521,                0.72911,                 1.1779,                0.62088,                0.85552,                0.82051,                0.62145,                0.86387,                0.91857,                 1.0576,              0.0013866,              0.0013866,              0.0013866
                     11,                0.95258,                0.70524,                 1.1674,                0.78392,                0.82244,                0.86085,                0.68933,                0.72029,                 1.1163,                0.99884,              0.0013818,              0.0013818,              0.0013818
                     12,                0.85221,                0.61381,                 1.1193,                  0.963,                0.95085,                0.98215,                0.81142,                0.68073,                0.48307,                0.98011,              0.0013771,              0.0013771,              0.0013771
                     13,                0.86667,                0.64372,                 1.1233,                 0.9266,                0.95618,                0.98231,                0.80852,                0.68472,                0.50333,                0.95249,              0.0013724,              0.0013724,              0.0013724
